outcome,outcome_label,n,psi,ci_low,ci_high,p_value,negative_direction
eGFR_cr_cys_2011,eGFRcr-cys in 2011,6879,-1.906790760037015,-2.516780167023135,-1.296801353050895,8.963932557964692e-10,1
eGFR_cr_cys_2015,eGFRcr-cys in 2015,7874,-1.5734152543997273,-2.1551943180170934,-0.9916361907823611,1.1529694907899479e-07,1
annualized_egfr_loss,Annualized eGFRcr-cys loss,4550,0.07469936631961901,-0.09684008243008332,0.24623881506932135,0.39337614679920196,0
